"NUMERO DE PEDIDO";"FECHA";"REFERENCIA PRODUCTO";"UNIDADES";"PRECIO"
"250283662";3/1/2024 0:00:00;125902;1;11,98 €
"250283662";3/1/2024 0:00:00;125899;1;11,07 €
"250283662";3/1/2024 0:00:00;110483;2;4,64 €
"250283662";3/1/2024 0:00:00;110487;2;3,26 €
"250283662";3/1/2024 0:00:00;127059;1;136,10 €
"250283662";3/1/2024 0:00:00;100257;1;23,51 €
"250283662";3/1/2024 0:00:00;126150;1;23,79 €
"250283662";3/1/2024 0:00:00;116660;1;43,67 €
"250283662";3/1/2024 0:00:00;119792;1;37,53 €
"250286930";26/1/2024 0:00:00;124108;1;12,58 €
"250286930";26/1/2024 0:00:00;125914;1;21,15 €
"250286930";26/1/2024 0:00:00;116670;1;8,33 €
"250286930";26/1/2024 0:00:00;298813;1;25,76 €
"250286930";26/1/2024 0:00:00;122109;1;22,61 €
"250286930";26/1/2024 0:00:00;119797;1;18,40 €
"250286930";26/1/2024 0:00:00;301617;1;10,90 €
"250286930";26/1/2024 0:00:00;116661;1;43,67 €
"250286930";26/1/2024 0:00:00;116660;1;43,67 €
"250286930";26/1/2024 0:00:00;126624;1;67,52 €
"250289155";4/2/2024 0:00:00;126745;1;23,96 €
"250289155";4/2/2024 0:00:00;320868;1;178,80 €
"250289155";4/2/2024 0:00:00;293033;1;134,02 €
"250289155";4/2/2024 0:00:00;111661;2;11,88 €
"250289155";4/2/2024 0:00:00;317514;1;136,10 €
"250292392";25/2/2024 0:00:00;126150;1;23,79 €
"250292392";25/2/2024 0:00:00;101593;1;30,34 €
"250292392";25/2/2024 0:00:00;304955;1;51,84 €
"250292392";25/2/2024 0:00:00;124107;1;2,54 €
"250292392";25/2/2024 0:00:00;124108;1;12,58 €
"250292392";25/2/2024 0:00:00;116660;2;87,38 €
"250292392";25/2/2024 0:00:00;125901;1;21,10 €
"250292392";25/2/2024 0:00:00;125893;1;14,74 €
"250292392";25/2/2024 0:00:00;125891;1;21,15 €
"250292392";25/2/2024 0:00:00;125913;1;10,76 €
"250292392";25/2/2024 0:00:00;116670;2;16,66 €
"250292392";25/2/2024 0:00:00;100181;1;23,56 €
"250292392";25/2/2024 0:00:00;4298;2;70,64 €
"250292392";25/2/2024 0:00:00;308613;1;0,00 €
"250292392";25/2/2024 0:00:00;321961;1;0,00 €
"250293083";28/2/2024 0:00:00;120854;1;38,43 €
"250293083";28/2/2024 0:00:00;271916;1;93,76 €
"250293083";28/2/2024 0:00:00;121057;1;45,53 €
"250293083";28/2/2024 0:00:00;121608;1;34,88 €
"250293083";28/2/2024 0:00:00;121609;1;34,88 €
"250293083";28/2/2024 0:00:00;122165;1;46,36 €
"250293083";28/2/2024 0:00:00;308613;1;0,00 €
"250293083";28/2/2024 0:00:00;321961;1;0,00 €
"250294610";4/3/2024 0:00:00;317514;1;136,10 €
"250294610";4/3/2024 0:00:00;321906;2;261,70 €
"250297096";19/3/2024 0:00:00;119802;1;22,61 €
"250297096";19/3/2024 0:00:00;101593;2;60,68 €
"250297096";19/3/2024 0:00:00;121057;1;45,53 €
"250297096";19/3/2024 0:00:00;126150;1;23,79 €
"250297096";19/3/2024 0:00:00;308613;1;26,72 €
"250297096";19/3/2024 0:00:00;116660;1;43,67 €
"250297096";19/3/2024 0:00:00;121604;1;21,18 €
"250297096";19/3/2024 0:00:00;121602;1;34,75 €
"250297096";19/3/2024 0:00:00;121608;1;34,88 €
"250293083";28/2/2024 0:00:00;120854;1;38,43 €
"250278374";6/12/2023 0:00:00;125898;1;10,19 €
"250278374";6/12/2023 0:00:00;125899;1;11,07 €
"250278374";6/12/2023 0:00:00;125902;1;11,98 €
"250278374";6/12/2023 0:00:00;125892;2;19,52 €
"250278374";6/12/2023 0:00:00;110483;1;2,32 €
"250278374";6/12/2023 0:00:00;124485;2;28,70 €
"250278374";6/12/2023 0:00:00;110403;2;22,22 €
"250278374";6/12/2023 0:00:00;124106;1;6,78 €
"250278374";6/12/2023 0:00:00;125166;1;17,77 €
"250278374";6/12/2023 0:00:00;125915;2;42,30 €
"250278374";6/12/2023 0:00:00;304953;2;91,02 €
"250278374";6/12/2023 0:00:00;319906;1;30,25 €
